time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-06T18:13:57.226Z,60.5373,-152.888,122.8,1.6,ml,,,,0.26,ak,ak0195soiehf,2019-05-06T21:25:51.284Z,"9km NW of Redoubt Volcano, Alaska",earthquake,,1,,,reviewed,ak,ak
2019-05-06T18:12:45.070Z,36.0755,-120.6486667,1.92,0.72,md,16,139,0.04304,0.08,nc,nc73178015,2019-05-07T00:42:19.083Z,"24km ENE of San Ardo, CA",earthquake,0.44,2,0.241,8,reviewed,nc,nc
2019-05-06T18:06:04.790Z,33.6475,-116.7088333,13.36,0.5,ml,18,72,0.03619,0.06,ci,ci38348343,2019-05-06T20:54:40.769Z,"10km S of Idyllwild, CA",earthquake,0.18,0.31,0.234,9,reviewed,ci,ci
2019-05-06T18:00:42.510Z,33.6488333,-116.709,13.08,0.69,ml,21,73,0.03553,0.09,ci,ci38348335,2019-05-06T20:46:52.375Z,"10km S of Idyllwild, CA",earthquake,0.21,0.36,0.152,11,reviewed,ci,ci
2019-05-06T17:32:24.754Z,66.3125,-157.2902,7.2,1.3,ml,,,,1.48,ak,ak0195so10bv,2019-05-06T17:35:21.877Z,"68km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-06T17:31:14.280Z,34.009,-116.8865,17.64,1.15,ml,40,61,0.07039,0.13,ci,ci38348287,2019-05-06T20:44:22.270Z,"9km N of Banning, CA",earthquake,0.18,0.4,0.131,24,reviewed,ci,ci
2019-05-06T17:20:15.700Z,18.5388,-67.5806,15,2.78,md,7,311,0.1847,0.49,pr,pr2019126008,2019-05-06T19:36:08.420Z,"41km WNW of Rincon, Puerto Rico",earthquake,2.72,1.65,0.12,7,reviewed,pr,pr
2019-05-06T17:19:15.320Z,38.7786674,-122.7421646,1.3,0.87,md,8,106,0.02007,0.02,nc,nc73178005,2019-05-06T17:38:02.166Z,"1km E of The Geysers, CA",earthquake,0.36,0.81,0.13,3,automatic,nc,nc
2019-05-06T17:15:23.410Z,33.4948333,-116.5473333,9.37,0.33,ml,12,112,0.04585,0.06,ci,ci38348231,2019-05-06T20:39:47.864Z,"14km ESE of Anza, CA",earthquake,0.22,0.35,0.222,7,reviewed,ci,ci
2019-05-06T17:10:05.450Z,38.8098335,-122.8191681,2.61,1.13,md,25,52,0.00788,0.04,nc,nc73177990,2019-05-06T20:08:03.046Z,"6km WNW of The Geysers, CA",earthquake,0.21,0.41,0.09,5,automatic,nc,nc
